specificity,sensitivity,precision,recall,f1score,ACC,TPR,FPR,AUC,error1,error2,tp,fp,tn,fn
0.8667,0.9286,0.7647,0.9286,0.8387,0.8864,0.9286,0.1333,0.8976,0.1333,0.0714,13,4,26,1
0.9286,0.9375,0.8824,0.9375,0.9091,0.9318,0.9375,0.0714,0.9330,0.0714,0.0625,15,2,26,1
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,17,0,26,0
0.9286,1.0000,0.8824,1.0000,0.9375,0.9535,1.0000,0.0714,0.9643,0.0714,0.0000,15,2,26,0
0.9565,0.8000,0.9412,0.8000,0.8649,0.8837,0.8000,0.0435,0.8783,0.0435,0.2000,16,1,22,4
1.0000,0.8947,1.0000,0.8947,0.9444,0.9535,0.8947,0.0000,0.9474,0.0000,0.1053,17,0,24,2
0.8333,0.9231,0.7059,0.9231,0.8000,0.8605,0.9231,0.1667,0.8782,0.1667,0.0769,12,5,25,1
0.9200,0.8333,0.8824,0.8333,0.8571,0.8837,0.8333,0.0800,0.8767,0.0800,0.1667,15,2,23,3
1.0000,0.8889,1.0000,0.8889,0.9412,0.9535,0.8889,0.0000,0.9444,0.0000,0.1111,16,0,25,2
1.0000,0.8421,1.0000,0.8421,0.9143,0.9302,0.8421,0.0000,0.9211,0.0000,0.1579,16,0,24,3
,,,,,,,,,,,,,,
0.9434,0.9048,0.9059,0.9048,0.9007,0.9237,0.9048,0.0566,0.9241,0.0566,0.0952,15.2,,,
,,,,,,,,,,,,,,
,,,,,,,0.0566,0.0952,0.9237,0.9241,,,,
